18|241419
18|475033
30|271382
49|244380
72|19784
74|427295
85|186292
101|258530
131|472163
133|190168
152|95062
160|92761
160|320162
166|377145
180|377846
191|400587
198|332893
200|242009
205|18244
206|68828
226|431322
237|390617
239|139857
243|466
248|43582
251|373338
269|409493
292|22495
301|1397122
309|584840
317|290123
317|333901
317|529278
317|693871
346|87171
347|79190
412|125277
423|431469
432|424982
440|181063
440|574264
440|578678
440|583514
441|244340
441|562074
450|751013
466|119361
477|391839
477|406933
488|16335
491|353726
497|537573
497|557215
534|522249
544|1104888
552|398359
552|438747
568|495302
579|1206691
583|46353
597|345410
602|166334
607|855654
631|543303
643|565148
644|271869
652|146022
658|168770
670|450668
670|498071
6410|842094
6421|633813
6436|53818
6454|629487
6474|459383
6475|406342
6486|318097
6487|147005
6497|54107
8061|79640
8066|514993
8075|38204
8108|393849
8122|475362
8142|518835
8148|667365
8156|416316
8159|365747
8217|65873
8217|350519
8229|85306
8231|85306
8231|578692
8231|606910
8234|42213
8241|14681
8257|80002
8260|158413
8263|1022421
8268|791065
8270|241338
8272|659513
8291|283355
8292|258030
8315|1326478
8318|78166
8324|600295
8325|143279
8330|493508
8330|529091
8358|207122
8358|468476
8368|172244
8378|214180
8380|442295
8384|187375
8384|281155
8404|600477
8405|305429
8405|981338
8419|497180
8436|495791
8466|205967
8489|194707
8489|466221
8490|631199
8502|276700
8513|26115
8513|58117
8513|65663
8513|75816
8513|171818
8513|201581
8513|279061
8513|322504
8513|346714
8513|393694
8513|413624
8513|486220
8513|499598
8513|512013
8513|517449
8513|576515
8513|610679
8520|210443
8542|39391
8556|39097
8556|517699
8556|589847
8556|695345
8564|440722
8564|494014
8565|213632
8565|539452
8583|508348
8583|1398703
8591|31214
8592|18754
8601|544565
8603|289588
8609|220813
8610|185240
8612|402701
8630|511617
8631|613808
8633|479082
8655|796292
8658|535247
8674|1063911
8682|488056
8686|219909
8690|250453
8690|354200
8690|359080
8690|431553
8690|518413
8692|542396
8692|584400
8730|213583
8747|526830
8756|456881
8757|456881
8762|314930
8771|276192
8771|429987
8773|278168
8774|81776
8790|168530
8790|176574
690|387676
690|510646
691|434365
696|599313
707|607351
718|170027
721|199731
722|690383
742|544231
748|555841
752|1367333
767|471922
808|953862
818|495794
823|579898
834|380733
837|375056
849|689706
854|589197
863|18104
867|67592
878|94700
880|473366
893|528293
902|638644
904|446286
913|336282
917|64762
922|1144938
929|543191
944|62300
958|91685
958|190987
958|249798
958|497065
959|598736
970|29500
978|928740
985|319031
989|355340
991|146186
995|596632
1001|480017
1002|1446707
1014|560714
1037|448921
1040|686692
1041|81227
1042|836169
1052|172447
1082|74108
1108|325616
1109|491140
1111|218491
1113|412397
1113|460120
1116|50305
1120|86689
1133|326062
1134|113250
1135|155297
1152|167303
1152|607518
1158|479800
1158|569365
1158|610203
1171|488407
1177|351824
1177|590280
1177|590661
1181|618668
1193|310943
1198|70596
1215|25416
1235|322129
1236|185843
1247|159411
1255|508254
1257|503079
1259|414486
1267|778968
1278|121898
1297|1069979
1302|92322
1305|206579
1309|427683
1315|44486
1327|527130
1333|619019
1336|313451
1336|458171
1343|503359
1344|50356
1344|481243
1360|525374
1361|333916
1373|265924
1395|431434
1401|618946
1408|63905
1408|610921
1419|183136
1421|524421
1433|528690
1435|331105
1441|848101
1444|21261
1453|805186
1461|185955
1471|429173
1480|665494
1481|32597
1482|104148
1505|744149
1529|372956
1542|1369135
1544|144614
1545|193368
1568|411476
1568|500303
1594|41955
1600|189709
1600|205399
1611|407134
1623|269620
1624|7457
1633|251040
1670|30309
1683|179629
1702|472217
1712|409984
1716|369873
1716|613041
1724|654206
1730|327354
1731|496622
1735|523415
1760|474462
1787|626105
1793|235680
1804|66665
1814|1005820
1825|639410
1830|550296
1855|325133
6517|201904
6517|348541
6517|437510
6517|476423
6530|432210
6531|55482
6536|33431
6539|67416
6543|94247
6544|55926
6551|589141
6555|456176
6597|177326
6609|1285837
6626|225594
6666|544915
6668|384524
6673|184545
6676|1175178
6676|1264450
6750|381900
6754|9586
6759|158014
6783|351485
6786|325072
6788|640326
6792|150649
6807|548916
6808|87179
6808|111875
6808|342370
6810|462503
6832|285187
6846|1140750
6852|219461
6856|1124703
6859|400040
6869|509881
6894|491122
6899|506185
6916|501525
6926|439996
6930|393257
6931|39594
6940|555682
6942|323194
6974|616934
